Serial No.,Movie Title,Release Month,Release Year,Genre,Type,Country of Origin,Language,Duration (minutes),Director,Cast,IMDb Rating,Rotten Tomatoes (%),Box Office Collection (in millions),Liked By (Number of People),Preferred by Generation,Age Suitability,Streaming Platform,Awards Won,Keywords / Tags,Recommendation Score
161,Roma,August,2018,Drama,Movie,Mexico,Spanish,135,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira",7.7,96,5,1200000,"Gen Z, Millennials",R,Netflix,Oscar,"Family, Drama",94
162,Goblin (Guardian: The Lonely and Great God),December,2016,Fantasy/Romance,Series,South Korea,Korean,75,Lee Eung-bok,"Gong Yoo, Kim Go-eun",8.7,,,2500000,"Gen Z, Millennials",16+,Netflix,Baeksang Award,"Romance, Fantasy",95
163,Business Proposal,February,2022,Romance/Comedy,Series,South Korea,Korean,60,Park Seon-ho,"Ahn Hyo-seop, Kim Se-jeong",8.1,,,2100000,Gen Z,13+,Netflix,K-Drama Awards,"Romance, Comedy",93
164,Descendants of the Sun,February,2016,Romance/Drama,Series,South Korea,Korean,65,Lee Eung-bok,"Song Joong-ki, Song Hye-kyo",8.3,,,2300000,Millennials,16+,Viki,Baeksang Award,"Romance, Military",94
165,My Love From the Star,December,2013,Romance/Fantasy,Series,South Korea,Korean,60,Jang Tae-yoo,"Kim Soo-hyun, Jun Ji-hyun",8.2,,,2000000,Millennials,13+,Netflix,K-Drama Awards,"Romance, Fantasy",92
166,Train to Busan,July,2016,Horror/Thriller,Movie,South Korea,Korean,118,Yeon Sang-ho,"Gong Yoo, Ma Dong-seok",7.6,95,99,2800000,Gen Z,18+,Prime Video,Blue Dragon,"Zombie, Thriller",93
167,3 Idiots,December,2009,Comedy/Drama,Movie,India,Hindi,171,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor",8.4,100,90,3500000,Millennials,U,Netflix,Filmfare Award,"Education, Comedy",98
168,Coco,November,2017,Animation/Family,Movie,USA,English,105,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal",8.4,97,798,3000000,"Gen Z, Kids",PG,Disney+,Oscar,"Animation, Family",96
169,Minari,January,2020,Drama,Movie,USA/South Korea,English/Korean,115,Lee Isaac Chung,"Steven Yeun, Yeri Han",7.5,98,15,1100000,Gen Z,PG-13,Prime Video,Oscar Nominee,"Immigration, Family",91
170,The Wandering Earth,February,2019,Sci-Fi/Adventure,Movie,China,Mandarin,125,Frant Gwo,"Qu Chuxiao, Wu Jing",6,70,700,1700000,Gen Z,PG-13,Netflix,Asian Film Awards,"Sci-Fi, Space",89
171,Your Name,August,2016,Romance/Fantasy,Movie,Japan,Japanese,112,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi",8.4,98,358,3000000,"Gen Z, Millennials",PG,Crunchyroll/Netflix,Anime Awards,"Romance, Fantasy",97
172,Neon Nights 1,February,2012,Romance/Drama,Movie,Japan,French,79,Christopher Nolan,"Tom Hanks, Emma Watson",9.2,74,2376,1430406,Gen X,18+,HBO Max,Golden Globe,"Action, Romance",100
173,Beyond Horizon 2,March,2001,Documentary,Movie,South Korea,Korean,111,David Fincher,"Brad Pitt, Margot Robbie",8,65,2759,7810460,Millennials,18+,Hulu,K-Drama Awards,"Tragedy, Action",84
174,The Last Voyage 3,September,1990,Thriller/Drama,Series,Japan,English,85,James Cameron,"Tom Hanks, Emma Watson",7.5,89,795,7396550,Gen Z,16+,Hulu,Oscar,"Adventure, Mystery",94
175,Beyond Horizon 4,February,2024,Thriller/Drama,Movie,USA,Spanish,122,David Fincher,"Tom Hanks, Emma Watson",9.5,73,246,915268,Gen Z,PG,Disney+,K-Drama Awards,"Mystery, Drama",77
176,Shattered Memories 5,August,2005,Fantasy,Movie,USA,Japanese,125,Guillermo del Toro,"Tom Hanks, Emma Watson",9.2,62,1922,1238533,Gen X,18+,Disney+,None,"Romance, Comedy",98
177,Beyond Horizon 6,October,2011,Crime/Comedy/Drama,Movie,Japan,Japanese,170,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",8.6,69,900,9696182,"Gen Z, Millennials",R,Hulu,Cannes Winner,"Tragedy, Sci-Fi",70
178,Neon Nights 7,July,2009,Documentary,Series,UK,Spanish,104,Bong Joon-ho,"Tom Hanks, Emma Watson",7,90,491,4697161,Gen Z,18+,Netflix,None,"Comedy, Tragedy",74
179,Eternal Shadows 8,January,2008,Romance/Drama,Series,Germany,Spanish,99,Anurag Kashyap,"Ranbir Kapoor, Alia Bhatt",6.4,89,1192,4625444,"Gen Z, Millennials",PG,HBO Max,Baeksang Nominee,"Thriller, Mystery",89
180,Hidden Truths 9,October,2013,Thriller/Drama,Movie,USA,French,166,Anurag Kashyap,"Ranbir Kapoor, Alia Bhatt",6.6,50,1932,582374,"Gen Z, Millennials",16+,Prime Video,Cannes Winner,"Action, Fantasy",99
181,Hidden Truths 10,February,2007,Documentary,Series,UK,Spanish,195,Guillermo del Toro,"Ranbir Kapoor, Alia Bhatt",6,76,1066,1023003,Millennials,PG-13,Netflix,Cannes Winner,"Tragedy, Romance",93
182,Neon Nights 11,July,2015,Documentary,Movie,India,Hindi,76,Hayao Miyazaki,"Robert Pattinson, Zoë Kravitz",7.4,100,2560,1164731,Gen Z,PG,HBO Max,Cannes Winner,"Action, Mystery",81
183,Silent Echo 12,February,1996,Sci-Fi/Thriller,Series,Canada,German,118,Park Chan-wook,"Leonardo DiCaprio, Kate Winslet",6.9,55,1044,7020054,Gen Z,R,HBO Max,K-Drama Awards,"Fantasy, Sci-Fi",95
184,Dreamscape 13,February,1994,Crime/Comedy/Drama,Movie,France,English,130,Park Chan-wook,"Robert Pattinson, Zoë Kravitz",7,54,572,9325647,"Gen Z, Millennials",18+,Hulu,K-Drama Awards,"Tragedy, Action",81
185,Hidden Truths 14,January,2022,Mystery,Movie,Japan,French,149,Bong Joon-ho,"Tom Hanks, Emma Watson",6.8,58,855,5966627,"Gen Z, Millennials",PG,Hulu,Golden Globe,"Tragedy, Romance",80
186,Shattered Memories 15,March,2016,Fantasy,Series,Germany,Japanese,74,Bong Joon-ho,"Robert Pattinson, Zoë Kravitz",7.3,97,626,798110,Gen Z,PG,HBO Max,Cannes Winner,"Fantasy, Romance",98
187,Eternal Shadows 16,June,2020,Fantasy,Series,India,French,172,Bong Joon-ho,"Chris Evans, Emily Blunt",8.3,72,1534,2179698,Millennials,PG,Netflix,Golden Globe,"Adventure, Mystery",75
188,The Last Voyage 17,March,2024,Action/Adventure,Series,Japan,French,184,Anurag Kashyap,"Brad Pitt, Margot Robbie",6.1,54,2142,8682710,Millennials,R,Prime Video,Oscar,"Tragedy, Fantasy",76
189,Silent Echo 18,November,1991,Crime/Comedy/Drama,Series,Germany,English,120,Hayao Miyazaki,"Scarlett Johansson, Adam Driver",7.8,72,2893,3413501,"Gen Z, Millennials",PG,Prime Video,Baeksang Nominee,"Drama, Action",82
190,Silent Echo 19,August,2017,Action/Adventure,Movie,Canada,English,179,Guillermo del Toro,"Leonardo DiCaprio, Kate Winslet",8.5,95,796,4924051,Millennials,18+,HBO Max,Oscar,"Thriller, Action",88
191,Shattered Memories 20,May,2014,Mystery,Movie,South Korea,German,178,Christopher Nolan,"Ranbir Kapoor, Alia Bhatt",9.4,54,284,7117801,Millennials,18+,Hulu,Cannes Winner,"Tragedy, Comedy",98
192,Hidden Truths 21,May,1994,Sci-Fi/Thriller,Series,UK,Spanish,177,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",8.3,98,790,6533827,Gen Z,R,Netflix,Baeksang Nominee,"Romance, Fantasy",99
193,Crimson Dawn 22,May,1996,Thriller/Drama,Series,France,German,148,Sofia Coppola,"Brad Pitt, Margot Robbie",6,95,2851,5813488,Gen X,18+,HBO Max,None,"Mystery, Romance",78
194,Hidden Truths 23,June,2005,Animation,Series,UK,English,183,Bong Joon-ho,"Brad Pitt, Margot Robbie",8.6,93,1691,6797923,Gen X,PG,HBO Max,Baeksang Nominee,"Drama, Sci-Fi",74
195,The Last Voyage 24,March,2013,Fantasy,Movie,Japan,Japanese,126,Sofia Coppola,"Chris Evans, Emily Blunt",7.5,84,2502,7578322,Millennials,PG-13,Disney+,Baeksang Nominee,"Action, Tragedy",70
196,Crimson Dawn 25,October,2019,Animation,Movie,Canada,Hindi,86,Sofia Coppola,"Brad Pitt, Margot Robbie",8.8,95,2743,8339925,Gen Z,16+,Prime Video,K-Drama Awards,"Comedy, Adventure",71
197,Silent Echo 26,February,1998,Mystery,Series,UK,Spanish,197,David Fincher,"Henry Cavill, Anya Taylor-Joy",8.1,76,914,8691167,Gen X,PG,Disney+,K-Drama Awards,"Mystery, Tragedy",85
198,Eternal Shadows 27,February,2007,Horror,Movie,Japan,French,75,Hayao Miyazaki,"Tom Hanks, Emma Watson",8.3,68,1446,371326,Millennials,PG-13,Netflix,Oscar,"Tragedy, Mystery",90
199,Silent Echo 28,September,2004,Sci-Fi/Thriller,Movie,UK,French,72,David Fincher,"Robert Pattinson, Zoë Kravitz",9.1,74,468,6614294,"Gen Z, Millennials",18+,Netflix,K-Drama Awards,"Sci-Fi, Tragedy",81
200,Fading Stars 29,December,2018,Romance/Drama,Movie,Canada,Spanish,194,Sofia Coppola,"Kim Soo-hyun, Kim Ji-won",7.4,70,2357,1390424,"Gen Z, Millennials",PG,Prime Video,Cannes Winner,"Thriller, Drama",76
201,Silent Echo 30,January,2012,Fantasy,Series,UK,Spanish,144,Bong Joon-ho,"Brad Pitt, Margot Robbie",8.3,67,1092,1535458,"Gen Z, Millennials",R,Hulu,K-Drama Awards,"Sci-Fi, Tragedy",95
202,Silent Echo 31,July,2006,Thriller/Drama,Series,UK,German,86,James Cameron,"Henry Cavill, Anya Taylor-Joy",8.5,79,2314,2181955,"Gen Z, Millennials",18+,Netflix,Oscar,"Thriller, Drama",100
203,Crimson Dawn 32,December,2018,Action/Adventure,Series,France,Japanese,118,Greta Gerwig,"Chris Evans, Emily Blunt",7.7,93,429,7268398,Gen X,PG,Disney+,Cannes Winner,"Adventure, Fantasy",97
204,The Last Voyage 33,August,2021,Horror,Series,India,Hindi,199,Guillermo del Toro,"Leonardo DiCaprio, Kate Winslet",7.2,57,808,2349434,Gen X,PG-13,HBO Max,Cannes Winner,"Mystery, Fantasy",86
205,Shattered Memories 34,August,1992,Mystery,Series,Japan,German,152,Park Chan-wook,"Tom Hanks, Emma Watson",6.3,93,2493,5402746,"Gen Z, Millennials",PG,Disney+,K-Drama Awards,"Drama, Thriller",82
206,Shattered Memories 35,August,2000,Romance/Drama,Movie,USA,Hindi,87,Anurag Kashyap,"Brad Pitt, Margot Robbie",9.2,72,891,8754845,Millennials,R,Disney+,None,"Sci-Fi, Romance",89
207,Dreamscape 36,October,2023,Crime/Comedy/Drama,Series,France,German,130,Greta Gerwig,"Ranbir Kapoor, Alia Bhatt",8.7,79,2328,3862084,"Gen Z, Millennials",16+,Hulu,K-Drama Awards,"Mystery, Tragedy",77
208,The Last Voyage 37,August,1999,Action/Adventure,Series,USA,French,139,James Cameron,"Henry Cavill, Anya Taylor-Joy",9.3,69,1915,5797895,Gen X,PG,Prime Video,Golden Globe,"Drama, Action",91
209,The Last Voyage 38,February,2021,Romance/Drama,Series,Canada,Korean,149,Sofia Coppola,"Scarlett Johansson, Adam Driver",6.2,62,508,2989656,Gen X,PG,Hulu,K-Drama Awards,"Tragedy, Adventure",74
210,The Last Voyage 39,November,1996,Sci-Fi/Thriller,Movie,South Korea,French,114,Christopher Nolan,"Henry Cavill, Anya Taylor-Joy",7.3,76,1135,3150335,"Gen Z, Millennials",16+,Prime Video,Oscar,"Action, Drama",92
211,The Last Voyage 40,February,2000,Horror,Movie,UK,Japanese,85,Park Chan-wook,"Tom Hanks, Emma Watson",6.6,94,1064,6112579,"Gen Z, Millennials",18+,Netflix,Golden Globe,"Comedy, Fantasy",80
212,Eternal Shadows 41,May,1995,Horror,Series,Japan,Hindi,92,Sofia Coppola,"Ranbir Kapoor, Alia Bhatt",8.8,57,2622,4981990,"Gen Z, Millennials",PG-13,Disney+,Oscar,"Action, Thriller",94
213,Shattered Memories 42,September,2024,Crime/Comedy/Drama,Series,France,Spanish,145,Anurag Kashyap,"Leonardo DiCaprio, Kate Winslet",7.9,63,2430,2661969,"Gen Z, Millennials",PG-13,Netflix,K-Drama Awards,"Romance, Mystery",93
214,Silent Echo 43,September,2023,Thriller/Drama,Series,Canada,Korean,179,Sofia Coppola,"Kim Soo-hyun, Kim Ji-won",7.9,91,584,6863763,Gen X,PG,Disney+,None,"Action, Romance",72
215,Crimson Dawn 44,June,2023,Romance/Drama,Movie,UK,Spanish,92,Bong Joon-ho,"Tom Hanks, Emma Watson",8.9,84,1928,820694,Gen X,16+,Disney+,Oscar,"Romance, Action",73
216,Eternal Shadows 45,December,1993,Documentary,Series,South Korea,English,81,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",6.2,74,2622,4228738,Millennials,16+,Disney+,Cannes Winner,"Romance, Drama",84
217,Silent Echo 46,April,2020,Documentary,Series,USA,German,100,Hayao Miyazaki,"Scarlett Johansson, Adam Driver",6.5,88,1846,8802187,Gen X,R,Disney+,K-Drama Awards,"Romance, Adventure",91
218,Eternal Shadows 47,May,1997,Crime/Comedy/Drama,Movie,South Korea,Korean,143,Christopher Nolan,"Brad Pitt, Margot Robbie",8.1,83,2512,6882838,Gen X,18+,Prime Video,Oscar,"Comedy, Drama",74
219,Hidden Truths 48,June,2016,Animation,Movie,Japan,Hindi,141,Sofia Coppola,"Chris Evans, Emily Blunt",7.7,75,1481,3070864,Gen Z,PG,Disney+,Cannes Winner,"Tragedy, Drama",71
220,Eternal Shadows 49,April,2002,Horror,Series,UK,Spanish,200,Sofia Coppola,"Kim Soo-hyun, Kim Ji-won",7.6,84,167,4400404,Millennials,PG,Disney+,None,"Adventure, Drama",88
221,Eternal Shadows 50,August,1993,Action/Adventure,Movie,Germany,Japanese,148,Hayao Miyazaki,"Kim Soo-hyun, Kim Ji-won",8.1,77,2487,3841032,Gen Z,16+,Disney+,Cannes Winner,"Tragedy, Sci-Fi",97
222,Neon Nights 51,May,2008,Horror,Series,USA,Korean,186,Guillermo del Toro,"Scarlett Johansson, Adam Driver",6.6,98,194,6200804,Gen X,PG-13,Disney+,Golden Globe,"Comedy, Tragedy",95
223,Shattered Memories 52,April,2016,Horror,Movie,USA,Hindi,183,Anurag Kashyap,"Tom Hanks, Emma Watson",6.4,68,723,6483205,Gen Z,R,Netflix,Baeksang Nominee,"Tragedy, Sci-Fi",88
224,The Last Voyage 53,February,2016,Action/Adventure,Movie,India,Hindi,175,Sofia Coppola,"Ranbir Kapoor, Alia Bhatt",8,77,201,1293060,Gen Z,R,Disney+,Oscar,"Sci-Fi, Adventure",73
225,The Last Voyage 54,April,2002,Documentary,Movie,Japan,Spanish,75,Greta Gerwig,"Scarlett Johansson, Adam Driver",6.1,97,1273,4513933,Millennials,18+,Hulu,Baeksang Nominee,"Thriller, Action",86
226,Fading Stars 55,May,2020,Action/Adventure,Series,USA,Hindi,93,Hayao Miyazaki,"Scarlett Johansson, Adam Driver",8,56,242,3351186,Millennials,R,Prime Video,None,"Drama, Fantasy",84
227,Beyond Horizon 56,May,2003,Thriller/Drama,Series,South Korea,French,125,Greta Gerwig,"Kim Soo-hyun, Kim Ji-won",7.3,69,2568,4345076,Gen Z,PG-13,Prime Video,Baeksang Nominee,"Adventure, Sci-Fi",98
228,Shattered Memories 57,March,2022,Sci-Fi/Thriller,Series,USA,English,160,Christopher Nolan,"Song Kang-ho, Lee Sun-kyun",7.7,53,2051,2386746,"Gen Z, Millennials",R,Hulu,Cannes Winner,"Sci-Fi, Mystery",93
229,Beyond Horizon 58,December,1995,Animation,Series,Canada,Spanish,162,Bong Joon-ho,"Brad Pitt, Margot Robbie",7.3,94,1016,4197942,"Gen Z, Millennials",18+,Prime Video,None,"Romance, Tragedy",92
230,Neon Nights 59,January,2014,Animation,Series,India,Japanese,86,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",8.2,54,1634,9697311,Gen Z,PG,Netflix,None,"Mystery, Tragedy",72
231,Eternal Shadows 60,July,2009,Action/Adventure,Series,Canada,French,179,Hayao Miyazaki,"Kim Soo-hyun, Kim Ji-won",6.5,93,1552,7588765,Gen X,PG,Hulu,K-Drama Awards,"Fantasy, Action",93
232,Dreamscape 61,September,2014,Action/Adventure,Series,South Korea,Spanish,113,Guillermo del Toro,"Robert Pattinson, Zoë Kravitz",7.9,74,114,1895042,Gen X,PG-13,Hulu,K-Drama Awards,"Action, Sci-Fi",82
233,Fading Stars 62,January,1990,Mystery,Movie,South Korea,Korean,141,Bong Joon-ho,"Tom Hanks, Emma Watson",7.7,71,563,9501703,Gen X,18+,Prime Video,K-Drama Awards,"Drama, Sci-Fi",77
234,Hidden Truths 63,May,2002,Action/Adventure,Series,Japan,Korean,110,Park Chan-wook,"Song Kang-ho, Lee Sun-kyun",8.4,87,761,5916342,Gen Z,18+,Hulu,None,"Adventure, Mystery",77
235,Shattered Memories 64,December,2014,Mystery,Movie,Japan,Hindi,169,Greta Gerwig,"Ranbir Kapoor, Alia Bhatt",8,62,1819,6136861,Gen Z,16+,Hulu,None,"Adventure, Comedy",85
236,Silent Echo 65,July,2020,Crime/Comedy/Drama,Movie,UK,German,90,Park Chan-wook,"Leonardo DiCaprio, Kate Winslet",7.4,98,217,4168384,Gen X,R,HBO Max,Oscar,"Adventure, Tragedy",77
237,Hidden Truths 66,February,2008,Crime/Comedy/Drama,Series,Germany,Korean,191,Anurag Kashyap,"Tom Hanks, Emma Watson",8.1,79,1298,5378063,Gen X,18+,HBO Max,K-Drama Awards,"Thriller, Tragedy",73
238,Eternal Shadows 67,March,1992,Thriller/Drama,Series,India,Korean,70,Bong Joon-ho,"Chris Evans, Emily Blunt",8.4,84,1897,3427515,Millennials,16+,Prime Video,None,"Fantasy, Drama",79
239,Crimson Dawn 68,January,2014,Horror,Movie,France,Japanese,76,Anurag Kashyap,"Kim Soo-hyun, Kim Ji-won",8.2,66,286,4568902,Millennials,R,Prime Video,Baeksang Nominee,"Sci-Fi, Thriller",73
240,Beyond Horizon 69,October,2021,Crime/Comedy/Drama,Movie,USA,Spanish,78,Anurag Kashyap,"Brad Pitt, Margot Robbie",7.7,73,1167,3989100,"Gen Z, Millennials",PG-13,Netflix,Oscar,"Tragedy, Comedy",83
241,Eternal Shadows 70,May,2005,Animation,Movie,France,English,142,Christopher Nolan,"Kim Soo-hyun, Kim Ji-won",6.5,53,2193,6881612,Gen X,R,Disney+,Baeksang Nominee,"Drama, Mystery",80
242,Shattered Memories 71,December,2016,Crime/Comedy/Drama,Series,France,Hindi,144,Christopher Nolan,"Scarlett Johansson, Adam Driver",9.5,69,2514,5898598,Millennials,18+,Netflix,Golden Globe,"Action, Fantasy",72
243,Silent Echo 72,October,2024,Horror,Movie,USA,German,195,Park Chan-wook,"Kim Soo-hyun, Kim Ji-won",6.5,92,1713,6200377,Gen Z,PG-13,HBO Max,Golden Globe,"Thriller, Mystery",88
244,Crimson Dawn 73,April,2021,Thriller/Drama,Movie,South Korea,Japanese,102,Park Chan-wook,"Song Kang-ho, Lee Sun-kyun",7.1,64,2287,492618,Gen Z,R,HBO Max,Cannes Winner,"Drama, Fantasy",79
245,Beyond Horizon 74,June,1990,Animation,Movie,Germany,Korean,77,Park Chan-wook,"Leonardo DiCaprio, Kate Winslet",9.4,87,1812,9074783,Gen X,16+,Hulu,Baeksang Nominee,"Mystery, Fantasy",77
246,Fading Stars 75,October,2010,Horror,Series,Germany,Japanese,168,Sofia Coppola,"Henry Cavill, Anya Taylor-Joy",8.8,79,540,4024261,"Gen Z, Millennials",16+,Netflix,Baeksang Nominee,"Drama, Mystery",84
247,Neon Nights 76,April,2013,Action/Adventure,Movie,Japan,Hindi,159,Guillermo del Toro,"Kim Soo-hyun, Kim Ji-won",7.1,80,2976,4754825,Millennials,R,Hulu,Baeksang Nominee,"Adventure, Thriller",89
248,Dreamscape 77,October,1995,Documentary,Series,India,German,114,Hayao Miyazaki,"Song Kang-ho, Lee Sun-kyun",9.3,52,2423,9187929,Gen Z,PG-13,HBO Max,Cannes Winner,"Thriller, Sci-Fi",85
249,Eternal Shadows 78,May,2013,Mystery,Movie,Canada,Hindi,134,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",7.9,76,1876,9915482,"Gen Z, Millennials",R,Netflix,Oscar,"Tragedy, Adventure",78
250,Fading Stars 79,May,1996,Sci-Fi/Thriller,Series,USA,German,106,James Cameron,"Brad Pitt, Margot Robbie",9.4,59,2362,1285567,"Gen Z, Millennials",R,Disney+,Oscar,"Thriller, Comedy",73
251,Beyond Horizon 80,August,1991,Sci-Fi/Thriller,Series,South Korea,English,73,Sofia Coppola,"Robert Pattinson, Zoë Kravitz",8.6,88,771,5298337,Millennials,18+,HBO Max,Cannes Winner,"Sci-Fi, Adventure",73
252,Hidden Truths 81,February,2011,Documentary,Series,France,Korean,83,David Fincher,"Scarlett Johansson, Adam Driver",8.6,82,311,4685414,Gen X,18+,HBO Max,Golden Globe,"Mystery, Tragedy",92
253,Crimson Dawn 82,January,2008,Action/Adventure,Movie,France,Spanish,144,Park Chan-wook,"Leonardo DiCaprio, Kate Winslet",6.8,72,156,3881631,Gen X,PG-13,Netflix,K-Drama Awards,"Adventure, Tragedy",97
254,Eternal Shadows 83,June,1994,Fantasy,Series,Canada,Korean,140,Anurag Kashyap,"Robert Pattinson, Zoë Kravitz",7.1,89,605,6661817,"Gen Z, Millennials",PG-13,HBO Max,Cannes Winner,"Mystery, Fantasy",79
255,The Last Voyage 84,August,2011,Documentary,Movie,UK,French,131,Christopher Nolan,"Brad Pitt, Margot Robbie",6.2,93,2281,5189140,Gen X,R,Netflix,Golden Globe,"Mystery, Drama",97
256,Eternal Shadows 85,October,2018,Mystery,Movie,South Korea,Japanese,131,James Cameron,"Song Kang-ho, Lee Sun-kyun",7.7,62,893,2487855,Gen X,16+,Hulu,K-Drama Awards,"Comedy, Tragedy",91
257,Neon Nights 86,January,2024,Thriller/Drama,Series,South Korea,English,143,David Fincher,"Chris Evans, Emily Blunt",6.4,81,2887,7302912,Gen Z,R,HBO Max,Golden Globe,"Sci-Fi, Comedy",88
258,Eternal Shadows 87,October,2014,Action/Adventure,Movie,Germany,French,106,Park Chan-wook,"Song Kang-ho, Lee Sun-kyun",7.8,100,2206,7788175,Millennials,18+,HBO Max,Golden Globe,"Thriller, Mystery",96
259,The Last Voyage 88,January,2024,Action/Adventure,Movie,India,Spanish,144,Sofia Coppola,"Tom Hanks, Emma Watson",7.7,99,546,2961693,Gen X,PG,Netflix,K-Drama Awards,"Action, Comedy",89
260,Beyond Horizon 89,October,2017,Fantasy,Movie,USA,Hindi,77,Christopher Nolan,"Leonardo DiCaprio, Kate Winslet",9.4,68,2349,5220136,Millennials,16+,Disney+,Golden Globe,"Tragedy, Adventure",96
261,Fading Stars 90,December,2020,Crime/Comedy/Drama,Movie,UK,French,171,Guillermo del Toro,"Chris Evans, Emily Blunt",8.4,59,213,9979923,Millennials,16+,Disney+,Golden Globe,"Romance, Sci-Fi",97
262,The Last Voyage 91,June,2001,Romance/Drama,Movie,Japan,Japanese,116,Bong Joon-ho,"Henry Cavill, Anya Taylor-Joy",6.6,76,1331,189832,Gen X,16+,Netflix,Oscar,"Romance, Thriller",85
263,Beyond Horizon 92,September,1992,Fantasy,Movie,France,Spanish,109,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",6.6,73,1247,1570068,Gen X,16+,Disney+,Baeksang Nominee,"Fantasy, Romance",98
264,Shattered Memories 93,February,2024,Fantasy,Movie,South Korea,Hindi,171,Park Chan-wook,"Ranbir Kapoor, Alia Bhatt",6.4,88,1200,1732789,Gen Z,R,Disney+,Baeksang Nominee,"Tragedy, Mystery",73
265,Shattered Memories 94,August,2010,Crime/Comedy/Drama,Movie,USA,Hindi,82,Hayao Miyazaki,"Leonardo DiCaprio, Kate Winslet",6.8,96,2917,5790752,"Gen Z, Millennials",PG,Hulu,Golden Globe,"Adventure, Comedy",80
266,Hidden Truths 95,February,2006,Crime/Comedy/Drama,Movie,India,German,142,Sofia Coppola,"Kim Soo-hyun, Kim Ji-won",8.2,99,1275,568365,Gen Z,PG-13,Hulu,Cannes Winner,"Thriller, Tragedy",87
267,Dreamscape 96,October,2019,Action/Adventure,Movie,France,Japanese,156,James Cameron,"Tom Hanks, Emma Watson",8.1,67,990,9118588,"Gen Z, Millennials",16+,Prime Video,Cannes Winner,"Adventure, Action",100
268,Crimson Dawn 97,June,2010,Horror,Movie,South Korea,English,195,James Cameron,"Ranbir Kapoor, Alia Bhatt",6.9,100,1720,370130,Millennials,PG,Disney+,None,"Romance, Thriller",77
269,Silent Echo 98,April,2016,Thriller/Drama,Movie,France,Hindi,200,Anurag Kashyap,"Ranbir Kapoor, Alia Bhatt",8.2,82,475,6378386,Millennials,16+,Disney+,Cannes Winner,"Drama, Fantasy",86
270,Silent Echo 99,May,2012,Sci-Fi/Thriller,Movie,Canada,Korean,74,Anurag Kashyap,"Henry Cavill, Anya Taylor-Joy",8,65,2401,744092,Gen Z,PG,Netflix,Oscar,"Romance, Drama",94
271,Neon Nights 100,September,1996,Horror,Series,France,English,140,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun",7.9,98,2145,5771778,"Gen Z, Millennials",R,Prime Video,Golden Globe,"Adventure, Thriller",77
272,Neon Nights 101,October,2003,Action/Adventure,Movie,Japan,Hindi,171,Christopher Nolan,"Henry Cavill, Anya Taylor-Joy",6.5,67,2830,2824315,Gen Z,18+,Disney+,Baeksang Nominee,"Tragedy, Thriller",71
